description;fromPlace;origin;toPlace;destination;transportType
Fylkeskryssende;NSR:StopPlace:11;Drammen;NSR:StopPlace:58211;Oslo Lufthavn;flytoget
Fylkeskryssende;NSR:StopPlace:20762;Notodden Skysstasjon;NSR:StopPlace:6505;Oslo Bussterminal;TIMEkspressen
Møre og Romsdal;NSR:StopPlace:38768;Aålesund Hurtigbåtkai;NSR:StopPlace:38672;Hareid hurtigbåtkai;hurtigbåt
Møre og Romsdal;NSR:StopPlace:58054;Tromsø Hurtigrutekai;NSR:StopPlace:58035;Vadsø Hurtigrutekai;hurtigruta
NSB;NSR:StopPlace:659;Trondheim;NSR:StopPlace:337;Oslo S;NSB tog
NSB;NSR:StopPlace:1;Drammen;NSR:StopPlace:302;Gjøvik;NSB tog+NSB tog
NSB;NSR:StopPlace:324;Gol;NSR:StopPlace:577;Billingstad;NSB tog+NSB tog
NSB;NSR:StopPlace:426;Lier;NSR:StopPlace:694;Spikkestad;NSB tog+NSB tog
Ruter;NSR:StopPlace:58195;Storo;NSR:StopPlace:58366;Jernbanetorget;t-bane
Ruter;NSR:StopPlace:6024;Sinsenterrassen;NSR:StopPlace:58251;Brugata;trikk
Ruter;NSR:StopPlace:58382;Aker brygge;NSR:StopPlace:4411;Hovedøya;båt
Ruter;NSR:StopPlace:337;Oslo S;NSR:StopPlace:375;Langhus;NSB tog
Ruter;NSR:StopPlace:4401;IKEA Slependen;NSR:StopPlace:6505;Oslo Bussterminal;buss
Ruter;NSR:StopPlace:6715;Ljabru hovedgård;NSR:StopPlace:5336;Kjellås(Enebakk);buss (grønn)
Østold;NSR:StopPlace:1544;Sellebakk torg;NSR:StopPlace:1850;Gressvikveien;Buss
Østold;NSR:StopPlace:2410;Paul Holmsens vei;NSR:StopPlace:2143;Skiveien;Buss
Østold;NSR:StopPlace:1924;Slevikkrysset;NSR:StopPlace:412;Askim;Buss+NSB tog
Østold;NSR:StopPlace:2839;Kallumtoppen;NSR:StopPlace:2580;Flatland;Buss+NSB tog
